08/14/23 10:20:51 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (17401) - No such process
08/14/23 10:20:51 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (17401) - No such process
08/14/23 10:20:51 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:51 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (17555) - No such process
08/14/23 10:20:51 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (17555) - No such process
08/14/23 10:20:51 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:52 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (17731) - No such process
08/14/23 10:20:52 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (17731) - No such process
08/14/23 10:20:52 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:52 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (17885) - No such process
08/14/23 10:20:52 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (17885) - No such process
08/14/23 10:20:52 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:53 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (18060) - No such process
08/14/23 10:20:53 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (18060) - No such process
08/14/23 10:20:53 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:53 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (18218) - No such process
08/14/23 10:20:53 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (18218) - No such process
08/14/23 10:20:53 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:54 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (18392) - No such process
08/14/23 10:20:54 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (18392) - No such process
08/14/23 10:20:54 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:54 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (18548) - No such process
08/14/23 10:20:54 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (18548) - No such process
08/14/23 10:20:54 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:55 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (18723) - No such process
08/14/23 10:20:55 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (18723) - No such process
08/14/23 10:20:55 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:55 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (18878) - No such process
08/14/23 10:20:55 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (18878) - No such process
08/14/23 10:20:55 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:56 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (19053) - No such process
08/14/23 10:20:56 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (19053) - No such process
08/14/23 10:20:56 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:56 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (19208) - No such process
08/14/23 10:20:56 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (19208) - No such process
08/14/23 10:20:56 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:57 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (19384) - No such process
08/14/23 10:20:57 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (19384) - No such process
08/14/23 10:20:57 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:57 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (19486) - No such process
08/14/23 10:20:57 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (19486) - No such process
08/14/23 10:20:57 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:58 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (19653) - No such process
08/14/23 10:20:58 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (19653) - No such process
08/14/23 10:20:58 EST -0500 | tcpdump: can't parse filter expression: syntax error
